Hospital_Name,Hospital_Type,Hospital_Category,State,District,Pincode,Specialties,Facilities,Address_Original_First_Line,Telephone
Deswal Hospital Childrens and Maternity Centre,Private,0,Haryana,Yamunanagar,135001,0,0,"Opp Gupta Petrol Pump , Near Dimple Cinema Ynr Road, Jagadhri",0
Garg Ent Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Puran Vihar, Jagadhri",0
Goel Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Sawanpuri , Road,Jagadhri",0
Jain Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Near District Court, Byepass Road, Sector-17,Huda, Jagadhri",0
Jindal Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Brain , Spine & Taruma Centre,Sector-17 , Huda ,Jagadhari",0
Kapoor General and Maternity Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Chhachhrauli Road, Near Buria Chowk, Jagdhari",0
Mittal Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Near Civil Hospital,Jagadhri",0
Paras Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Opp Sapphire Hotel , Road ,Sawanpuri ,Jagadhari",0
S.K. Hospital - Jagadhri,Private,0,Haryana,Yamunanagar,135001,0,0,"Near Dimple Cinema,  Road, Jagadhri",0
S.P.Infertility and Surgical Centre Pvt. Ltd. / S.P. Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Opposite Saraswati School, Chhachhrauli Poanta Road, Jagadhri. 39,Shiv Puri Colony, Jagadhri",0
Sabbarwal Hospital,Private,0,Haryana,Yamunanagar,135001,0,0,"Bilaspur Bye Pass Road ,Jagadhri",0
Aashirwad Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"1, Jain Nagar , Opp Sapphire Hotel Jagadhri , Road",0
Aggarwal Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Main Jagadhri Road,0
Arvinde Eye Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Ram Nagar ,Near Bhai Kanahya Sahib Chowk",0
Bharti Psychiatric Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Gobindpuri Road,Near J.K Residency",0
Chadha Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"409-L, Sarni Chowk",0
City Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Jagadhri- Bye Pass Road Sector-17,0
Dayasheel Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Behind Telephone Exchange,0
Dr R K Gupta Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Near Madhu Hotel, Gobindpuri Road, Circular Road",0
Dr Sandeep Kalra Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Jabbiwala Gurudwara ,Near Kanhiya Sahib Chowk,Model Town",0
Dr. Puran Chand Memorial Dental and Eye Hospital,Clinic,0,Haryana,Yamunanagar,135002,0,0,"Work Shop Road, Near Bus Stand, Opp Petrol Pump",0
Eye Q Super Speciality Eye Hospitals,Private,0,Haryana,Yamunanagar,135002,0,0,"Near Hotel Saffire, Gupta Petrol Pump, Railway Station",0
Friends Integrated Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Workshop Road, Near I.T.I",0
Gaba Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Bypass Road,0
Gautam Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"399 , Model Colony ,  399 , Model Colony",0
Goyal Eye Care,Clinic,0,Haryana,Yamunanagar,135002,0,0,Goyal Eye Care Centre Opposite Dimple Cinema Jagadhari,0
Gulati Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"169,Sarojini Colony,Phase-1,Near Bus Stand",0
Jp Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Near Luxmi Theater , Jagadhi Road",0
Kalra Eye and Maternity Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,92 - B/R Rickshaw Chowk Model Town,0
Kohli Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Cmc Complex Jagadhri Puran Vihar,0
Life Line Care Multi Speciality Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Kanhaiya Sahib Chowk Bye Pass Road,0
M L General Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,,0
Madan Memorial Children Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Madan Chowk Madel Town,0
Mago Maternity and Children Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Opposite Santpura Gurudwara,0
Mahairshi Dayanand Maternity and General Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Model Town,",0
Mahajan Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Mela Singh Chowk , Model Town",0
Masih Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"1, Sarojani Colony, Phase - 1",0
N.K. Urology Centre And Stone Clinic,Clinic,0,Haryana,Yamunanagar,135002,0,0,"Bye Pass Road, Adjacent Sant Nischal Singh Public School",0
R.R Free Seva Hospital Eye Hospital,Clinic,0,Haryana,Yamunanagar,135002,0,0,"72,Luxmi Garden,Near-I.T.I",0
Raj Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Bhal Kanahiya Sahib Chowk,Bye Pass Road",0
Rajan Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Near I.T.I, Railway Workshop Road",0
Rama Nursing Home,Clinic,0,Haryana,Yamunanagar,135002,0,0,"Mandi Road , Radaur",0
Rana Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Govindpuri Road, Near Kanhaiya Sahib",0
Rattan Multi Speciality Hospital and Clinical Lab,Clinic,0,Haryana,Yamunanagar,135002,0,0,Civil Hospital Sonepat (Government) M. L. General Hospital,0
Ravi Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Near Dav Dental College ,Model Town",0
Rishi Ram Memorial Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Previous Sahney Hospita,Opp City Police Station ,Near Sarni Chowk ,Model Town",0
Roop Rani Free Sewa Eye Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,72 Luxmi Garden,0
Sanjeevani Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Govindpuri Sarni Chowk,0
Sanjivani Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"Gupta Colony, Near Bhai Kanhayia Sahib Chowk",0
Santosh Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Near Bhai Kanhiya Sahib Chowk,0
Sawhney Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"481 -R ,Model Town ,Opposite City Police Station",0
Shri Suresh Chandra Memorial Eye and General Hospit,Private,0,Haryana,Yamunanagar,135002,0,0,Jourian,0
Sihint E.N.T Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"5-6, Tagore Graden.Opp Hanuman Mandir,Bye Pass Road",0
Sihint Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,,0
Smt. Shanti Devi Kalra Eye and Maternity Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,"92-B/R,Model Town",0
Sudhir Children andMaternity Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Opposite Madhu Motors,0
Waryam Singh Hospital,Private,0,Haryana,Yamunanagar,135002,0,0,Jagadhari Road,0
Aggrawal Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"National Highway 73A, Basant Nagar, Jagadhri",0
Bansal Eye Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Puran Vihar, Near Dimple Cinema, Jagadhri",0
Civil Hospital,Government,0,Haryana,Yamunanagar,135003,0,0,"Civil Lines Rd, Gomti Mohalla, Jagadhri",0
Dua Nursing Home,Clinic,0,Haryana,Yamunanagar,135003,0,0,"Civil Lines, Jagadhri",0
General Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,Jagadhari,0
Kapil Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"National Highway 73A, Basant Nagar, Jagadhri",0
Mahendra Hospital / Mahendru Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Jain Nagar , Jagadhri-135003, , National Highway 73A, Huda Sector 17, Huda, Jagadhri",0
Manocha Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Near Bhai Manasa Singh Gurudwara , Buria Gate ,Jagadhri",0
Rameshwar Dass Memorial Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Near Bus Stand Bye Pass Road, Jagadhri",0
Santosh Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Near Primary School,Gobind Puri",0
Sh O P Memorial Jain Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Near 965 P, Sector-17, Huda, Jagadhari",0
Tilak Raj Chhabra Memorial Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Bilaspur Road, Jagadhri",0
Vignesh Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Ambala Road, Jagadhari",0
Vishal Hospital,Private,0,Haryana,Yamunanagar,135003,0,0,"Vishal Nagar,  Road, Jagadhari",0
Esi Hospital,Government,0,Haryana,Yamunanagar,135106,0,0,"Basant Nagar, Jagadhri",0
"ESI Hospital, Jagadiri",Government,Public/ Government,Haryana,Yamunanagar,135003,,0,"ESIC Building, Jagadir",0
"Eye-Q Super Speciality Eye Hospitals, Yamunanagar",Private,Private,Haryana,Yamunanagar,135003,Eye Care,0,Near Sapphire Hotel,0
Jindal Hospital,Private,Private,Haryana,Yamunanagar,135001,,0,"Sector-17, Huda, Jagadhari",0
J P Hospital,Private,Private,Haryana,Yamunanagar,135001,,0,"Near Luxmi Theater, Jagadhi Road",0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Rampur,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Rohru,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Rohru,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Chopal,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Jubbal,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Junga,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,172031,0,0,Kotgarh,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Nerwa,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Theog,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Nankhri,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Chirgaon,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Kumarsain,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Suni,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Kotkhai,0
DDU Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,,0
GovernmentDental Collage,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,,0
Indira Gandhi Medical Collage,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,,0
Indus Hospital,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Nav Bahar,0
JNS Eye Care Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,"Neelkunj, North Oak Sanjauli",0
KNH Shimla,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,,0
MGMSCKHNERI,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,"Khneri, Rampur",0
Primary Health Centre,Government,Public/ Government,Himachal Pradesh,Shimla,0,0,0,Mashobra,0
Apna Hospital,Private,0,Himachal Pradesh,Bilaspur,174001,0,0,"Ghagas, - Nh - 21, Manali Road",0
District Ayurvedic Hospital,Clinic,0,Himachal Pradesh,Bilaspur,174001,0,0,,0
Regional Hospital,Private,0,Himachal Pradesh,Bilaspur,174001,0,0,,0
Vyas Hospital,Private,0,Himachal Pradesh,Bilaspur,174001,0,0,N H 21 Near Iti,0
"Ayurvedic Hospital, Kandraur",Clinic,0,Himachal Pradesh,Bilaspur,174004,0,0,Kandraur,0
Civil Hospital,Government,0,Himachal Pradesh,Bilaspur,174021,0,0,Ghumarwin,0
Fortis Rainbow Hospital,Private,0,Himachal Pradesh,Bilaspur,174021,0,0,GhurMarwin,0
Leelawati Hospital,Private,0,Himachal Pradesh,Bilaspur,174021,0,0,"Indra Market, Ghumarwin",0
C H C Naina Devi,Private,0,Himachal Pradesh,Bilaspur,174310,0,0,Naina Devi,0
Vyas Hospital,Private,Private,Himachal Pradesh,Bilaspur,0,Paediatrics and  gynaecologycology and General\nSurgery.,0,,0
Rainbow Hospital,Private,Private,Himachal Pradesh,Bilaspur,0,"gynaecology and Obstetrics, General Surgery,\nPaediatrics, General Medicine, Radiology,\nLaparoscopic surgery and ortho surgery.",0,Ghumarwin,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Bilaspur,174004,0,0,KANDRAUR,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Bilaspur,174021,0,0,GHUMARWIN,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Bilaspur,0,0,0,MARKANDA,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Bilaspur,174027,0,0,Bhareri,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Bilaspur,0,0,0,BARTHIN,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Bilaspur,174031,0,0,JHANDUTTA,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Bilaspur,174310,0,0,NAINA DEVI,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Bilaspur,174001,0,0,,0
Regional Hospital,Government,Public/ Government,Himachal Pradesh,Bilaspur,0,0,0,,0
"Referral Hospital, Chowari",Private,0,Himachal Pradesh,Chamba,176302,0,0,Chowari,0
C H C Holi,Private,0,Himachal Pradesh,Chamba,176309,0,0,Holi,0
Government Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,176310,0,0,,0
Navjeevan Hospital,Private,0,Himachal Pradesh,Chamba,176310,0,0,Mohalla Sapari,0
"Regional Hospital, Chamba",Private,0,Himachal Pradesh,Chamba,176310,0,0,,0
Sukhmani Hospital,Private,0,Himachal Pradesh,Chamba,176310,0,0,Near Bus Stand,0
C H C Choori,Private,0,Himachal Pradesh,Chamba,176311,0,0,Choori,0
"P H C, Kakira",Private,0,Himachal Pradesh,Chamba,176313,0,0,Kakira,0
Swami Shri Hari Giri Hospital,Private,0,Himachal Pradesh,Chamba,176313,0,0,Kakira Kamlari,0
C H C Sahoo,Private,0,Himachal Pradesh,Chamba,176314,0,0,Sahoo,0
"Ayurvedic Hospital, Bharmour",Clinic,0,Himachal Pradesh,Chamba,176315,0,0,Bharmour,0
C H C Bharmour,Private,0,Himachal Pradesh,Chamba,176315,0,0,Bhamour,0
C H C Saluni,Private,0,Himachal Pradesh,Chamba,176320,0,0,Saluni,0
C H C Killar,Private,0,Himachal Pradesh,Chamba,176323,0,0,Killar,0
"P H C, Purthi",Private,0,Himachal Pradesh,Chamba,176323,0,0,Purthi,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,176315,0,0,Bharmour,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,176305,0,0,"Subhash Chowk Rd, Moti Tiba",0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,176316,0,0,Tissa,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,BHARMOUR,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,CHOORI,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,176309,0,0,HOLI,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Kihar,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Killar,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Purthi,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Sahoo,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Saluni,0
District Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,176312,0,Ayurveda,,0
Primary Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Kakira,0
Primary Health Centre,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,Purthi,0
Referral Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,CHOWARI,0
Regional Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,,0
Regional Hospital,Government,Public/ Government,Himachal Pradesh,Chamba,0,0,0,,0
Chc Barsar,Government,Public/ Government,Himachal Pradesh,Hamirpur,174305,0,0,Barsar,0
Chc Sujanpur Tira,Government,Public/ Government,Himachal Pradesh,Hamirpur,176110,0,0,Sujanpur Tira,0
Aastha Hospital,Private,0,Himachal Pradesh,Hamirpur,177001,0,0,Pakka Bharo,0
Chc Naduan,Government,Public/ Government,Himachal Pradesh,Hamirpur,177001,0,0,Naduan,0
District Ayurvedic Hospital,Clinic,0,Himachal Pradesh,Hamirpur,177001,0,0,,0
Regional Hospital,Private,0,Himachal Pradesh,Hamirpur,177001,0,0,,0
Sai Hospital,Private,0,Himachal Pradesh,Hamirpur,177001,0,0,"Ns22, Bhotaroad, Wardno-11",0
Sri Krishna Hospital,Private,0,Himachal Pradesh,Hamirpur,177001,0,0,Nr. Bus Stand,0
Thakur Surgical and Maternity Nursing Home,Clinic,0,Himachal Pradesh,Hamirpur,177001,0,0,Ward No.8,0
Vinod Medical and Diagnostic Clinic,Clinic,0,Himachal Pradesh,Hamirpur,177001,0,0,Devpal Chowk,0
"Himachal Heads Neck Hospital, The  Multispeciality Dental Clinic, Maxillofacail Surgical Centre",Private,Private,Himachal Pradesh,Hamirpur,177001,Facio Maxillary surgery,0,Ist Floor Ajay Medical Store\nOppositeRH,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,177001,0,Ayurveda,Kadiar,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,177023,0,0,Tauni Devi,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,174305,0,0,BARSAR,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,177001,0,0,Nadaun,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,Bhoranj,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,Bhoranj,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,Galore,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,Sujanpur Tira,0
DistrictAyurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,Ayurveda,,0
Jain Muni Ayurvedic Manvi Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,Ayurveda,Manvi,0
Regional Hospital,Government,Public/ Government,Himachal Pradesh,Hamirpur,0,0,0,,0
Bimal Nursing Home,Clinic,0,Himachal Pradesh,Kangra,176001,0,0,"V. & P.O Khaira,Teh Palampur",0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176001,0,0,Baijnath,0
Dr.Rpmc Hospital,Private,0,Himachal Pradesh,Kangra,176001,0,0,Tanda,0
Maple Leaf Hospital,Private,0,Himachal Pradesh,Kangra,176001,0,0,Registered Under Registration Of Societies Act Xxi Of 1860 Registration No : 469,0
Rama Hospital Nursing and Maternity Home,Private,0,Himachal Pradesh,Kangra,176001,0,0,"11,12-Jai Market Poo, Bat Show Roo,\M",0
S M Eye Hospital,Private,0,Himachal Pradesh,Kangra,176001,0,0,,0
Shri Balaji Hospital,Private,0,Himachal Pradesh,Kangra,176001,0,0,"Near New Bus Stand,Opp Petrol Pump,Dharamshala Road",0
C H C Jawalamukhi,Private,0,Himachal Pradesh,Kangra,176031,0,0,Jawalamukhi,0
Chc,Government,0,Himachal Pradesh,Kangra,176038,0,0,Daulatpur,0
C.H.C.,Private,0,Himachal Pradesh,Kangra,176047,0,0,Nagrota Bagwan,0
Panchsheel Nursing Home Pvt Ltd,Clinic,0,Himachal Pradesh,Kangra,176047,0,0,"Near Railway Station, Nagrota Bagwan",0
Sood Nursing Home,Clinic,0,Himachal Pradesh,Kangra,176047,0,0,"Chahri, Nagrota Bagwan",0
Community Health Center,Government,0,Himachal Pradesh,Kangra,176053,0,0,Fatehpur,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176061,0,0,Palampur,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176061,0,0,"Palampur, Medical Department",0
Dr. Karan Hospital,Private,0,Himachal Pradesh,Kangra,176061,0,0,"Village Ghuggar Tanda, Palampur",0
Sushma Hospital And Women Care Centre,Private,0,Himachal Pradesh,Kangra,176061,0,0,"Lohna Colony, Near K.L.B. College, Palampur",0
Vivekanand Medical Institute (A Unit Of Vmrt,Private,0,Himachal Pradesh,Kangra,176061,0,0,"Holta Near H.P Agricultural ,University ,Palampur",0
Dattals Thakur Bhawani Singh Memorial Hospital,Private,0,Himachal Pradesh,Kangra,176062,0,0,"Thakurdwara Chowk, Palampur",0
C H C Bhawarna,Private,0,Himachal Pradesh,Kangra,176083,0,0,Bhawarna,0
C H C Chadhiar,Private,0,Himachal Pradesh,Kangra,176088,0,0,Chadhiar,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176107,0,0,Thural,0
Janani Hospital,Private,0,Himachal Pradesh,Kangra,176125,0,0,"Jhiklibeth, Baijnath",0
Shesh Awashti Memorial Dtil Hospital,Private,0,Himachal Pradesh,Kangra,176125,0,0,Baijnath,0
"Saxena Hospital, Jassur",Private,0,Himachal Pradesh,Kangra,176201,0,0,Jassur,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176202,0,0,Nurpur,0
C H C Shahpur,Private,0,Himachal Pradesh,Kangra,176206,0,0,Shahpur,0
District Ayurvedic Hospital,Clinic,0,Himachal Pradesh,Kangra,176215,0,0,Dharamshala,0
Sai Mahima Hospital - Dharamshala,Private,0,Himachal Pradesh,Kangra,176215,0,0,Ram Nagar,0
"Zonal Hospital, Dharamshala",Private,0,Himachal Pradesh,Kangra,176215,0,0,Dharamshala,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,176401,0,0,Indora,0
"Ayurvedic Hospital, Dehrra",Clinic,0,Himachal Pradesh,Kangra,177101,0,0,Dehra,0
Civil Hospital,Government,0,Himachal Pradesh,Kangra,177101,0,0,Dehra,0
C H C Dadasiba,Private,0,Himachal Pradesh,Kangra,177106,0,0,Dadasiba,0
Dr.Rajendra Prasad Government  Medical College,Government,Public/ Government,Himachal Pradesh,Kangra,176001,"Anaesthesiology, Anatomy, Bio- Chemistry, Bio-Physics, Community Medicine, Dental, Dermatology, ENT, Ophthalmology (Eye), Forensic Medicine, Medicine, Microbiology, Obstetrics and Gynaecology,\nOrthopedics, Pathology, Pediatrics, Pharmacology, Physiology, Psychiatry, Pulm Medicine, Radiodiagnosis, Surgery\n",0,"Kangra Chamunda, Bye Pass,\nNH - 20",0
Fortis Hospital,Private,Private,Himachal Pradesh,Kangra,0,"Cardiology, Gen.Medicine, Gen.Surgery,\nUrology, Paediatrics, Obst.and  gynaecology,\nOrthopaedics, Laboratory Services and Dialysis.",0,Kangra Dharamshala Road\n,0
Dr.K.D.'s Eye Hospital,Private,Private,Himachal Pradesh,Kangra,0,Ophtholmology (Day care procedures only),0,"Near Petrol Pump, Dharamshala Road",0
Ayurvedic College Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,Ayurveda,Paprola,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,Ayurveda,DEHRA,0
Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Harsar,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,THURAL,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Baijnath,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Dehra,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Nurpur,0
Civil Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Palampur,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Bhawarna,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Dada Siba,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Fatehpur,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Indora,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Jawalamukhi,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Jawali,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Kotkhai,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Nagrota Bagwan,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Nagrota Surian,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Nankhari,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Shahpur,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Chadiyar,0
DistrictAyurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,Dharmshala,0
Chc Nichar,Government,0,Himachal Pradesh,Kinnaur,172103,0,0,Nichar,0
Jaypee Hospital,Private,0,Himachal Pradesh,Kinnaur,172104,0,0,"Sholtu, Tapri",0
"PHC, Tapri",Government,0,Himachal Pradesh,Kinnaur,172104,0,0,Tapri,0
Chc Sangla,Government,0,Himachal Pradesh,Kinnaur,172106,0,0,Sangla,0
"Referal Hospital, Reckongpeo",Private,0,Himachal Pradesh,Kinnaur,172107,0,0,Reckongpeo,0
Chc Pooh,Government,0,Himachal Pradesh,Kinnaur,172111,0,0,Pooh,0
Dr.RPMC Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,176001,0,0,Tanda,0
Halder kola Ayurvedic Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,0,0,0,,0
Primary Health Centre,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Gopalpur,0
Shree Balaji Hospital,Government,Public/ Government,Himachal Pradesh,Kangra,176001,0,0,"NH 88, Adarsh Colony",0
Zonal Hospital,Government,Public/ Government,Himachal Pradesh,Kinnaur,176215,0,0,Dharamsala,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Sangla,0
Community Health Centre,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Pooh,0
DistrictAyurvedic,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Reckong Peo,0
Primary Health Centre,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Nichar,0
Project Hospital,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Bhavanagar,0
Regional Hospital,Government,Public/ Government,Himachal Pradesh,Kinnaur,0,0,0,Reckong Peo,0
Mahatama Gandhi Medical College,Government,0,Himachal Pradesh,Shimla,172001,0,0,Khaneri Rampur Bsr.,0
Civel Hospital Niramd,Private,0,Himachal Pradesh,Kullu,172023,0,0,Nirmand,0
