Code,Disease Name,Avg Price (INR),Claim Count,Fraud Rate
3961,Mitral stenos/aort insuf,1026.76,74,35.14
3482,Pseudotumor cerebri,1025.11,47,27.66
1971,Sec mal neo mediastinum,1024.35,23,30.43
5110,Pleurisy w/o effus or TB,1024.23,78,41.03
62989,Female genital disor NEC,1024.17,12,33.33
29510,Hebephrenia-unspec,1023.02,43,32.56
36240,Retina layer separat NOS,1020.0,10,20.0
87342,Open wound of forehead,1018.0,10,10.0
43882,Late ef CV dis dysphagia,1016.8,50,48.0
9592,Shldr/upper arm inj NOS,1015.33,15,33.33
59659,Oth func dsdr bladder,1014.0,15,26.67
27912,Wiskott-aldrich syndrome,1013.89,18,33.33
55303,Recur bilat femoral hern,1010.91,33,24.24
4474,Celiac art compress syn,1010.91,44,15.91
81323,Fx shaft rad w ulna-clos,1010.0,10,70.0
6821,Cellulitis of neck,1009.87,75,40.0
6192,"Genital-skin fistul, fem",1006.67,12,8.33
27952,Chronc graft-vs-host dis,1003.5,20,25.0
5513,Diaphragm hernia w gangr,1002.62,42,45.24
2859,Anemia NOS,1001.72,629,42.77
6271,Postmenopausal bleeding,1001.63,92,36.96
5934,Ureteric obstruction NEC,1000.92,76,40.79
33189,Cereb degeneration NEC,1000.0,10,40.0
34541,Psymotr epil w intr epil,999.35,77,38.96
70707,"Pressure ulcer, heel",998.75,152,44.74
36612,Incipient cataract,998.59,78,29.49
27901,Selective iga immunodef,997.5,16,31.25
5551,"Reg enteritis, lg intest",996.0,40,45.0
72939,"Panniculitis, site NEC",995.33,90,32.22
1514,Mal neo stomach body,994.71,17,41.18
7350,Hallux valgus,994.0,20,35.0
55329,Ventral hernia NEC,988.15,27,51.85
2912,Alcohol persist dementia,987.0,20,40.0
1891,Malig neo renal pelvis,986.34,101,47.52
20014,Lymphosarcoma axilla,984.29,14,14.29
81244,"Fx humer, condyl NOS-cl",982.35,17,29.41
36620,Traumatic cataract NOS,981.45,83,38.55
2142,Lipoma intrathoracic,980.56,18,38.89
3942,Mitral stenosis w insuff,978.14,86,30.23
36213,Retinal vascular changes,976.36,11,45.45
99696,Compl reattached leg NEC,975.79,19,26.32
36646,Cataract w radiation,971.55,84,40.48
55203,Rec bil fem hern w obstr,970.3,33,15.15
7220,Cervical disc displacmnt,967.3,337,38.87
36631,Glaucomatous flecks,966.25,96,35.42
8181,Fx arm mult/NOS-open,964.0,10,40.0
5993,Urethral caruncle,964.0,10,30.0
61809,Cystourethrocele,962.86,14,42.86
70715,Ulcer other part of foot,962.16,134,39.55
36254,Macular cyst or hole,960.71,14,42.86
55013,Recur bil ing hern-obstr,960.47,43,44.19
7950,Diagnosis 7950,960.0,15,26.67
99630,Malfunc gu dev/graft NOS,959.03,31,35.48
29021,Senile depressive,958.62,109,33.03
5752,Obstruction gallbladder,958.33,30,36.67
6202,Ovarian cyst NEC/NOS,955.88,68,41.18
29041,Vasc dementia w delirium,955.86,87,40.23
53261,Chr duod ulc hem/perf-ob,955.67,30,33.33
80507,Fx c7 vertebra-closed,954.78,23,34.78
55101,Rec unil fem hern w gang,953.46,26,15.38
6210,Polyp of corpus uteri,951.0,10,50.0
55100,Unil femoral hern w gang,950.37,27,40.74
20072,Large cell lymph thorax,950.0,11,36.36
42789,Cardiac dysrhythmias NEC,949.07,1749,41.4
56989,Intestinal disorders NEC,948.92,74,41.89
78701,Nausea with vomiting,948.47,352,38.92
56982,Ulceration of intestine,948.38,80,45.0
27902,Selective IgM immunodef,946.43,14,28.57
2788,Other hyperalimentation,945.94,32,21.88
42682,Long QT syndrome,945.71,77,37.66
2760,Hyperosmolality,945.17,263,40.68
3379,Autonomic nerve dis NEC,945.0,12,41.67
81400,Fx carpal bone NOS-close,942.0,10,10.0
5759,Dis of gallbladder NOS,941.58,19,42.11
36242,Serous detach pigm epith,940.83,12,33.33
3949,Mitral valve dis NEC/NOS,940.0,89,42.7
2303,Ca in situ colon,939.49,78,43.59
53390,Peptic ulcer NOS,936.96,23,39.13
V5339,Ftng oth cardiac device,936.61,62,35.48
8081,Fracture acetabulum-open,936.3,27,48.15
72740,Synovial cyst NOS,935.8,81,44.44
20011,Lymphosarcoma head,932.73,11,18.18
36617,Mature cataract,932.65,83,28.92
20602,Act mono leuk in relapse,932.0,10,60.0
80849,Pelvic fracture NEC-clos,931.05,19,52.63
7140,Rheumatoid arthritis,930.0,234,36.32
36643,Myotonic cataract,929.89,90,27.78
5764,Fistula of bile duct,927.74,31,41.94
43853,Lt ef oth parals-bilat,927.58,33,42.42
53500,Acute gastrtis w/o hmrhg,927.38,65,33.85
36616,Senile nuclear cataract,925.77,97,43.3
7856,Enlargement lymph nodes,921.9,84,36.9
36601,Ant subcaps pol cataract,921.11,90,25.56
73673,Cavus deformity of foot,921.11,18,16.67
1749,Malign neopl breast NOS,920.82,438,35.16
4105,Diagnosis 4105,920.77,13,38.46
55002,Bilat ing hernia w gang,918.95,38,39.47
185,Malign neopl prostate,918.74,1517,35.66
1628,Mal neo bronch/lung NEC,917.92,337,45.1
2395,Other gu neoplasm NOS,917.56,41,48.78
71906,Joint effusion-l/leg,917.31,52,40.38
29663,Bipol I cur mix w/o psy,917.07,123,28.46
32723,Obstructive sleep apnea,917.05,61,39.34
4271,Parox ventric tachycard,916.06,1516,39.84
36106,"Old detachment, partial",915.0,10,40.0
4460,Polyarteritis nodosa,915.0,40,45.0
20083,Mixed lymphosarc abdom,913.64,11,54.55
35981,Critical illness myopthy,913.43,35,34.29
2535,Diabetes insipidus,912.0,20,30.0
8441,Sprain medial collat lig,911.22,41,34.15
53789,Gastroduodenal dis NEC,910.43,23,47.83
29643,Bipol I manc-sev w/o psy,910.24,82,46.34
20066,Anaplastic lymph pelvic,910.0,13,15.38
4109,Diagnosis 4109,908.0,10,40.0
4262,Left bb hemiblock,907.97,59,25.42
5966,"Bladder rupt, nontraum",907.65,17,52.94
62211,Mild dysplasia of cervix,907.27,11,27.27
5529,"Hernia, site NOS w obstr",907.1,31,29.03
3319,Cereb degeneration NOS,906.36,33,45.45
36652,After-cataract NEC,906.15,78,38.46
20000,Retclsrc unsp xtrndl org,903.0,10,10.0
81231,Fx humerus shaft-open,901.43,14,42.86
23879,Lymph/hematpoitc tis NEC,900.24,41,46.34
V4612,Resp depend-powr failure,900.0,23,30.43
36613,Ant subcaps senile catar,899.25,93,40.86
99691,Compl reattached forearm,895.6,25,40.0
55092,Bilat inguinal hernia,893.2,25,32.0
73674,"Claw foot, acquired",892.27,22,13.64
8399,Dislocation NEC-open,888.18,11,54.55
7353,Hallux malleus,888.1,21,42.86
53141,Chr stom ulc w hem-obstr,887.3,37,40.54
5942,Urethral calculus,887.24,170,32.35
19882,Second malig neo genital,887.08,24,50.0
36651,Soemmering's ring,886.59,85,37.65
36600,Nonsenile cataract NOS,886.21,103,37.86
82110,Fx femur NOS-open,885.29,17,52.94
4420,Upper extremity aneurysm,884.87,39,30.77
20221,Sezary's disease head,884.67,15,20.0
72992,Nontrauma hema soft tiss,883.47,95,34.74
36207,Diabetic macular edema,883.0,10,40.0
81321,Fx radius shaft-closed,882.5,12,0.0
20028,Burkitt's tumor mult,882.31,13,46.15
2250,Benign neoplasm brain,882.08,24,29.17
53021,Ulcer esophagus w bleed,882.03,123,47.15
2273,Benign neo pituitary,881.88,16,6.25
2900,Senile dementia uncomp,881.74,121,45.45
41080,"AMI NEC, unspecified",881.67,12,16.67
36644,Cataract w syndrome NEC,881.29,85,25.88
5941,Bladder calculus NEC,880.43,163,43.56
4266,Other heart block,879.84,61,49.18
1571,Mal neo pancreas body,879.56,68,38.24
20247,Hairy-cell leukem spleen,875.45,11,45.45
62570,Vulvodynia NOS,875.0,10,30.0
36604,Nuclear cataract,874.85,97,44.33
53340,Chr peptic ulcer w hem,871.71,41,41.46
1724,Mal melanoma scalp/neck,871.43,42,33.33
42610,Atriovent block NOS,871.06,66,40.91
5753,Hydrops of gallbladder,869.5,20,30.0
2558,Adrenal disorder NEC,869.17,12,25.0
81219,Fx upper humerus NEC-opn,867.14,14,21.43
34550,Part epil w/o intr epil,867.11,83,37.35
73341,Aseptic necrosis humerus,866.9,42,35.71
38611,Benign parxysmal vertigo,866.05,129,39.53
5690,Anal & rectal polyp,865.86,29,62.07
3320,Paralysis agitans,865.57,774,40.18
20202,Nodular lymphoma thorax,865.0,14,42.86
9341,Foreign body bronchus,864.76,21,38.1
V4611,Respirator depend status,863.89,18,27.78
9330,Foreign body in pharynx,863.53,17,35.29
5539,Hernia NOS,863.16,38,21.05
2132,Benign neo vertebrae,862.38,21,52.38
4111,Intermed coronary synd,861.48,472,42.16
4408,Atherosclerosis NEC,861.44,160,34.38
1467,Mal neo post oropharynx,860.0,13,46.15
29562,Schizophr dis resid-chr,859.83,60,31.67
82382,Fx tibia w fibula NOS-cl,857.89,19,52.63
20212,Mycosis fungoides thorax,857.86,14,50.0
29540,Schizophreniform dis NOS,856.44,45,33.33
30300,Ac alcohol intox-unspec,856.07,28,35.71
35781,Chr inflam polyneuritis,855.14,37,27.03
53019,Other esophagitis,855.0,152,41.45
38010,Infec otitis externa NOS,853.08,26,42.31
43490,Crbl art oc NOS wo infrc,852.8,75,41.33
99731,Ventltr assoc pneumonia,852.78,18,22.22
2180,Submucous leiomyoma,852.78,18,27.78
179,Malig neopl uterus NOS,852.17,83,33.73
83212,Post disloc elbow-open,850.71,14,50.0
5511,Umbilical hernia w gangr,850.0,30,33.33
81345,Torus fx radius-cl/alone,850.0,15,33.33
1552,Malignant neo liver NOS,850.0,42,33.33
2768,Hypopotassemia,849.64,306,36.6
1966,Mal neo lymph-intrapelv,848.42,19,36.84
6145,Ac pelv peritonitis-fem,848.1,21,28.57
81612,"Fx distal phal, hand-opn",847.86,14,28.57
99692,Compl reattached hand,847.78,18,44.44
36619,Senile cataract NEC,847.2,107,33.64
V1352,Hx stress fracture,846.36,22,31.82
4377,Transient global amnesia,845.14,37,43.24
51919,Trachea & bronch dis NEC,844.29,35,31.43
4358,Trans cereb ischemia NEC,844.24,165,41.21
40492,Hy ht/kd NOS st V w/o hf,844.15,53,43.4
36230,Retinal vasc occlus NOS,843.64,11,27.27
33828,Chronic postop pain NEC,842.75,40,27.5
5939,Renal & ureteral dis NOS,842.34,137,37.23
5680,Peritoneal adhesions,842.27,66,54.55
53530,Alchl gastrtis w/o hmrhg,841.82,11,45.45
33183,Mild cognitive impairemt,841.78,45,42.22
51911,Acute bronchospasm,841.32,38,50.0
36130,Retinal defect NOS,841.0,10,30.0
1622,Malig neo main bronchus,840.6,332,37.35
29020,Senile delusion,840.0,93,44.09
44501,"Atheroembolism,upper ext",837.69,13,15.38
1801,Malig neo exocervix,837.5,16,31.25
36623,Part resolv traum catar,837.36,91,29.67
3384,Chronic pain syndrome,836.33,49,30.61
20380,Oth imno npl wo ach rmsn,836.05,119,38.66
1898,Mal neo urinary NEC,835.45,11,45.45
29040,"Vascular dementia,uncomp",835.04,115,32.17
53010,"Esophagitis, unspecified",834.68,126,46.83
2521,Hypoparathyroidism,834.5,20,30.0
36642,Tetanic cataract,833.58,81,34.57
36611,Pseudoexfol lens capsule,833.52,105,36.19
20077,Large cell lymph spleen,830.0,13,46.15
27903,Selective ig defic NEC,830.0,13,38.46
75312,Polycystic kidney NOS,829.17,12,25.0
1883,Mal neo bladder-anterior,828.0,65,49.23
36205,Mod nonprolf db retinoph,827.0,10,60.0
36633,Cataract w neovasculizat,826.89,74,36.49
8241,Fx medial malleolus-open,826.67,15,46.67
4417,Thracabd anurysm wo rupt,826.4,50,44.0
78650,Chest pain NOS,826.38,2384,39.22
36274,Pigment retina dystrophy,826.0,10,60.0
25042,DMII renal uncntrld,825.5,131,39.69
5699,Intestinal disorder NOS,825.47,64,40.62
20060,Anaplastic lymph xtrndl,825.0,12,25.0
2355,Unc behav neo GI NEC,824.64,28,50.0
36289,Retinal disorders NEC,824.55,11,27.27
3419,Cns demyelination NOS,823.33,36,52.78
1922,Mal neo spinal cord,821.67,12,33.33
570,Acute necrosis of liver,820.84,107,43.93
36615,Cortical senile cataract,820.12,86,38.37
81418,Fx hamate bone-open,820.0,11,54.55
36618,Hypermature cataract,819.88,81,34.57
2110,Benign neo esophagus,818.93,28,32.14
V431,Lens replacement NEC,818.76,105,32.38
95912,Injury of abdomen NEC,818.18,11,36.36
20038,Margin zone lymph multip,817.86,14,35.71
36602,Post subcaps pol catarct,816.14,83,38.55
49320,Chronic obst asthma NOS,816.05,124,34.68
8191,Fx arms w rib/stern-open,816.0,10,40.0
61803,Urethrocele,815.45,11,36.36
4269,Conduction disorder NOS,815.0,60,45.0
9596,Hip & thigh injury NOS,814.21,19,47.37
35800,Mysthna grvs w/o ac exac,813.95,43,37.21
43410,Crbl emblsm wo infrct,813.02,86,31.4
79439,Abn cardiovasc study NEC,812.8,50,44.0
42820,Systolic hrt failure NOS,812.63,354,40.68
29189,Alcohol mental disor NEC,812.5,12,25.0
36610,Senile cataract NOS,810.36,84,36.9
5100,Empyema with fistula,810.11,92,35.87
0545,Herpetic septicemia,809.29,14,35.71
42689,Conduction disorder NEC,806.36,66,22.73
8471,Sprain thoracic region,805.83,48,39.58
1973,Sec malig neo resp NEC,805.22,23,43.48
28264,Hb-S/Hb-C dis w crisis,805.0,22,36.36
41062,"True post infarct,subseq",804.0,15,40.0
9331,Foreign body in larynx,803.85,13,30.77
44029,Athrsc extrm ntv art oth,800.67,180,35.0
20287,Lymphomas NEC spleen,799.38,16,37.5
4560,Esophag varices w bleed,798.42,38,39.47
36630,Cataracta complicata NOS,797.98,84,32.14
62210,Dysplasia of cervix NOS,797.78,18,55.56
1808,Malig neo cervix NEC,796.4,25,44.0
60490,Orchitis/epididymit NOS,795.0,26,42.31
3576,Neuropathy due to drugs,794.0,35,37.14
5793,Intest postop nonabsorb,793.85,13,15.38
30500,Alcohol abuse-unspec,792.0,35,31.43
71589,Osteoarthrosis-mult site,791.59,145,33.1
72665,Prepatellar bursitis,791.34,67,43.28
36621,Local traumatic opacity,791.19,84,32.14
5969,Bladder disorder NOS,790.59,17,41.18
81111,"Fx scapul, acrom proc-op",790.0,17,35.29
36215,Retinal telangiectasia,790.0,16,43.75
83942,Dislocat sacrum-closed,790.0,10,20.0
3668,Cataract NEC,789.53,86,34.88
82133,Supracondyl fx femur-opn,788.95,19,52.63
4660,Acute bronchitis,787.21,566,38.69
5964,Atony of bladder,785.6,25,36.0
8242,Fx lateral malleolus-cl,785.0,18,50.0
36634,Cataract in degen dis,780.79,89,38.2
43812,Late eff CV dis-dysphsia,780.0,25,52.0
36653,Aftr-catar obscur vision,779.81,104,40.38
1982,Secondary malig neo skin,779.47,19,26.32
45989,Circulatory disease NEC,777.78,54,29.63
51901,Tracheostomy infection,777.5,12,33.33
340,Multiple sclerosis,777.03,573,33.51
5369,Stomach function dis NOS,776.5,20,45.0
55103,Recur bil fem hern-gang,775.19,27,29.63
55000,Unilat ing hernia w gang,775.0,32,43.75
9348,FB trach/bronch/lung NEC,774.62,13,38.46
20075,Large cell lymph inguin,774.12,17,52.94
34510,Gen cnv epil w/o intr ep,772.41,79,40.51
20966,Ben crcinoid midgut NOS,771.9,21,52.38
2581,Comb endocr dysfunct NEC,771.58,19,42.11
20031,Margin zone lym head,770.67,15,46.67
82111,Fx femur shaft-open,770.0,11,36.36
80511,Fx c1 vertebra-open,770.0,10,0.0
55201,Rec unil fem hern w obst,769.33,30,40.0
20290,Unsp lym unsp xtrndl org,769.33,15,53.33
4264,Rt bundle branch block,767.91,67,40.3
8449,Sprain of knee & leg NOS,767.07,58,43.1
36650,After-cataract NOS,766.95,95,30.53
5581,Radiation gastroenterit,766.81,69,34.78
22804,Hemangioma intra-abdom,766.52,23,39.13
99680,Comp organ transplnt NOS,765.0,22,36.36
20277,Periph T cell lym spleen,763.57,14,28.57
59984,Oth spcf dsdr urethra,763.33,18,22.22
V4500,Status cardc dvce unspcf,763.33,69,40.58
36226,Retinoph prematr.stage 4,763.08,13,15.38
36641,Diabetic cataract,762.86,84,33.33
59971,Gross hematuria,761.1,127,41.73
2799,Immune mechanism dis NOS,761.0,20,40.0
5982,Postop urethral strictur,760.91,11,54.55
48230,Streptococcal pneumn NOS,758.33,36,38.89
5992,Urethral diverticulum,758.33,18,27.78
60091,BPH NOS w ur obs/LUTS,757.52,101,46.53
33529,Motor neuron disease NEC,757.27,11,27.27
2733,Macroglobulinemia,755.93,27,40.74
1508,Mal neo esophagus NEC,755.86,29,34.48
7351,Hallux varus,755.0,18,38.89
8793,Opn wnd ant abdomen-comp,755.0,14,28.57
36603,Cortical cataract,755.0,96,39.58
55121,Gangr incisional hernia,754.83,29,48.28
20088,Mixed lymphosarc mult,754.0,10,40.0
36645,Toxic cataract,750.56,90,40.0
20272,Periph T cell lym thorax,748.18,11,27.27
20228,Sezary's disease mult,748.12,16,56.25
53510,Atrph gastrtis w/o hmrhg,747.93,82,41.46
3669,Cataract NOS,747.12,111,39.64
78951,Malignant ascites,742.86,28,28.57
2233,Benign neoplasm bladder,742.0,25,24.0
29043,Vasc dementia w depressn,741.96,97,38.14
8448,Sprain of knee & leg NEC,741.89,37,37.84
73398,Stress fx pelvis,741.88,16,31.25
36632,Cataract in inflam dis,741.71,82,37.8
2865,Diagnosis 2865,741.33,75,36.0
81511,Fx 1st metacarp base-opn,740.91,11,45.45
3090,Adjustmnt dis w depressn,740.83,24,16.67
78959,Ascites NEC,740.0,106,32.08
71804,Artic cartil dis-hand,737.5,12,0.0
36622,Total traumatic cataract,737.41,81,40.74
2254,Ben neo spinal meninges,736.55,29,37.93
80841,Fracture of ilium-closed,736.07,28,35.71
38630,Labyrinthitis NOS,735.36,97,29.9
7813,Lack of coordination,734.87,78,35.9
3551,Meralgia paresthetica,733.08,39,35.9
8418,Sprain elbow/forearm NEC,733.05,59,38.98
29411,Dementia w behavior dist,729.21,101,38.61
36131,Round hole of retina,729.17,12,33.33
V4571,Acq absnce breast/nipple,727.86,56,26.79
V571,Physical therapy NEC,726.82,519,36.42
4467,Takayasu's disease,725.45,55,40.0
7282,Musc disuse atrophy NEC,724.38,96,41.67
4371,Ac cerebrovasc insuf NOS,724.1,39,38.46
1748,Malign neopl breast NEC,722.75,396,39.39
70719,Ulcer oth part low limb,722.11,128,36.72
71803,Artic cartil dis-forearm,721.82,11,27.27
99695,Compl reattached foot,721.67,24,33.33
7810,Abn involun movement NEC,721.21,58,27.59
5173,Acute chest syndrome,721.05,19,26.32
81405,Fx trapezium bone-closed,720.83,12,50.0
79430,Abn cardiovasc study NOS,720.42,48,31.25
81402,"Fx lunate, wrist-closed",720.0,14,57.14
3094,Adj dis-emotion/conduct,719.17,24,50.0
6944,Pemphigus,718.67,15,26.67
1886,Mal neo ureteric orifice,717.22,79,35.44
81011,"Fx clavic, stern end-opn",717.0,10,30.0
28489,Aplastic anemias NEC,716.74,288,35.42
73670,Acq ankle-foot def NOS,714.81,27,44.44
8438,Sprain hip & thigh NEC,714.23,52,46.15
1990,Malig neo disseminated,713.33,24,41.67
29652,Bipol I cur depress-mod,712.57,105,39.05
42841,Ac syst/diastol hrt fail,708.61,366,38.25
8730,Open wound of scalp,708.0,20,35.0
59080,Pyelonephritis NOS,707.77,391,36.06
1542,Malig neopl anal canal,707.65,34,32.35
1968,Mal neo lymph node-mult,707.27,22,45.45
20006,Reticulosarcoma pelvic,706.67,12,33.33
73675,Acq cavovarus deformity,706.25,24,20.83
78900,Abdmnal pain unspcf site,705.82,529,41.78
72273,Lumb disc dis w myelopat,704.68,280,36.07
8059,Vertebral fx NOS-open,704.0,15,33.33
62579,Other vulvodynia,703.57,14,42.86
20043,Mantle cell lymph abdom,703.53,17,41.18
20208,Nodular lymphoma mult,703.53,17,64.71
81308,Fx up radius w ulna-clos,703.33,12,41.67
8251,Fracture calcaneus-open,702.5,12,33.33
7355,Claw toe,702.06,34,35.29
41092,"AMI NOS, subsequent",700.0,11,36.36
82521,Fx astragalus-closed,700.0,17,29.41
79589,Abnorml tumor marker NEC,699.67,30,50.0
V484,Sensory problem w head,699.31,29,31.03
5306,Acq esophag diverticulum,699.28,138,27.54
28860,Leukocytosis NOS,699.05,42,50.0
1707,Mal neo long bones leg,698.18,11,36.36
5940,Blad diverticulum calcul,697.94,155,31.61
36609,Nonsenile cataract NEC,697.77,103,39.81
20302,Mult myeloma in relapse,697.7,100,35.0
5929,Urinary calculus NOS,697.31,160,35.0
7230,Cervical spinal stenosis,696.89,289,40.83
53511,Atrph gastritis w hmrhg,696.48,54,40.74
71808,Artic cartil dis-jt NEC,696.0,10,30.0
53020,Ulc esophagus w/o bleed,695.93,123,47.97
20225,Sezary's disease inguin,695.83,12,25.0
81509,Mult fx metacarpus-close,695.45,11,27.27
7265,Enthesopathy of hip,695.18,110,47.27
71511,Loc prim osteoart-shlder,695.14,144,36.11
1512,Mal neo pyloric antrum,694.09,22,36.36
4421,Renal artery aneurysm,693.66,41,48.78
4139,Angina pectoris NEC/NOS,693.21,458,34.5
4404,Chr tot occl art extrem,693.05,177,31.64
8791,Open wound breast-compl,691.67,18,27.78
42989,Ill-defined hrt dis NEC,690.59,34,38.24
2394,Bladder neoplasm NOS,690.24,41,39.02
20076,Large cell lymph pelvic,689.09,11,27.27
80504,Fx c4 vertebra-closed,688.57,14,42.86
2888,Wbc disease NEC,687.27,22,31.82
7101,Systemic sclerosis,686.0,60,31.67
1502,Mal neo abdomin esophag,684.84,31,45.16
81390,Fx forearm NOS-open,683.0,10,20.0
4568,Varices of other sites,683.0,40,42.5
20024,Burkitt's tumor axilla,682.73,11,45.45
1726,Malig melanoma arm,682.5,36,38.89
34711,Narcolepsy w cat oth dis,682.38,42,40.48
5641,Irritable bowel syndrome,682.36,89,33.71
53089,Other dsrders esophagus,682.1,119,28.57
78906,Abdmnal pain epigastric,681.79,436,38.76
42732,Atrial flutter,681.44,1559,38.81
29594,Schizo NOS-chr/exacerb,681.02,49,51.02
8261,"Fx phalanx, foot-open",680.0,15,53.33
5988,Urethral stricture NEC,680.0,21,52.38
3521,Glossopharyng neuralgia,680.0,32,28.12
20081,Mixed lymphosarc head,679.09,22,31.82
2331,Ca in situ cervix uteri,678.57,14,50.0
5949,Lower urin calcul NOS,677.46,169,28.99
81381,Fx radius NOS-closed,677.33,15,40.0
25041,DMI renl nt st uncntrld,676.88,96,30.21
28268,Hb-S dis w/o crisis NEC,676.67,12,25.0
5304,Perforation of esophagus,676.57,102,32.35
6151,Chr uterine inflammation,676.47,17,47.06
43321,Ocl vrtb art w infrct,676.35,74,40.54
7823,Edema,676.18,102,41.18
80843,Pelv fx-clos/pelv disrup,675.79,19,47.37
4718,Nasal sinus polyp NEC,674.75,40,32.5
36614,Post subcap senile catar,674.37,87,31.03
7960,Abn toxicologic finding,673.89,18,27.78
43821,Late ef-hemplga dom side,673.64,44,56.82
44629,Hypersensit angiitis NEC,673.08,39,28.21
36218,Retinal vasculitis,672.5,12,41.67
78609,Respiratory abnorm NEC,672.15,368,39.13
3629,Retinal disorder NOS,671.43,14,42.86
1725,Malig melanoma trunk,670.81,37,40.54
1733,Diagnosis 1733,670.75,67,37.31
80851,Fracture of ilium-open,670.62,16,37.5
5995,Prolapse urethral mucosa,670.59,17,52.94
2105,Benign neoplasm tonsil,670.5,20,45.0
1727,Malig melanoma leg,670.5,40,35.0
9071,Late eff cran nerve inj,670.0,10,40.0
62929,Fem genital mutilate NEC,670.0,10,30.0
8053,Fx dorsal vertebra-open,669.23,13,23.08
8243,Fx lateral malleolus-opn,668.82,17,29.41
725,Polymyalgia rheumatica,667.24,87,41.38
1403,"Mal neo upper lip, inner",667.14,14,21.43
56030,Impaction intestine NOS,667.14,28,32.14
2874,Diagnosis 2874,665.82,55,38.18
V5415,Aftrcare traum fx up leg,665.79,19,31.58
4149,Chr ischemic hrt dis NOS,665.04,472,37.5
42651,Rt bbb/lft post fasc blk,664.62,52,36.54
5948,Lower urin calcul NEC,662.05,171,33.92
1548,Mal neo rectum/anus NEC,662.0,40,35.0
20025,Burkitt's tumor inguin,661.2,25,32.0
72989,Muscskel sympt limb NEC,660.75,106,39.62
36281,Retinal hemorrhage,660.0,13,46.15
44581,"Atheroembolism, kidney",660.0,14,35.71
07423,Coxsackie myocarditis,657.27,11,54.55
30000,Anxiety state NOS,657.17,113,46.02
5564,Pseudopolyposis colon,656.57,35,22.86
36272,Ret dystrph in syst dis,656.43,14,50.0
3612,Serous retina detachment,656.0,10,60.0
72633,Olecranon bursitis,655.12,80,32.5
99813,Seroma complicting proc,655.0,20,40.0
27650,Volume depletion NOS,654.17,228,45.18
20963,Benign carcinoid stomach,652.14,14,50.0
2141,Lipoma skin NEC,651.61,31,41.94
V053,Need prphyl vc vrl hepat,651.41,71,43.66
5981,Traum urethral stricture,651.25,16,31.25
4150,Acute cor pulmonale,650.37,109,33.94
2243,Benign neo conjunctiva,650.0,21,28.57
20284,Lymphomas NEC axilla,648.0,15,40.0
78096,Generalized pain,647.96,49,34.69
4389,Late effect CV dis NOS,647.73,44,36.36
3591,Hered prog musc dystrphy,647.44,43,32.56
72810,Muscular calcificat NOS,647.31,67,38.81
71945,Joint pain-pelvis,646.98,86,33.72
20712,Chr erythrmia in relapse,646.92,13,61.54
436,Cva,646.39,83,36.14
V5042,Prphylct orgn rmvl ovary,646.3,27,40.74
29600,Bipol I single manic NOS,646.06,99,44.44
20063,Anaplastic lymph abdom,645.45,11,36.36
22809,Hemangioma NEC,645.24,21,33.33
7078,Chronic skin ulcer NEC,645.11,90,41.11
2391,Respiratory neoplasm NOS,645.0,36,44.44
22381,Benign neoplasm urethra,644.76,21,33.33
70713,Ulcer of ankle,644.74,135,34.81
20275,Periph T cell lym inguin,644.29,21,33.33
95893,Trauma compart synd abd,643.33,12,41.67
5651,Anal fistula,642.69,26,23.08
8409,Sprain shoulder/arm NOS,642.31,65,35.38
56489,Funct dis intestine NEC,640.98,82,31.71
V0481,Vaccin for influenza,640.61,115,35.65
36250,Macular degeneration NOS,640.48,21,38.1
36212,Exudative retinopathy,638.18,11,45.45
60000,BPH w/o urinary obs/LUTS,638.0,160,41.88
36510,Open-angle glaucoma NOS,637.67,30,43.33
53561,Duodenitis w hmrhg,637.29,48,35.42
36233,Part arterial occlusion,636.36,11,36.36
20003,Reticulosarcoma abdom,636.15,13,23.08
59981,Urethral hypermobility,635.6,25,32.0
591,Hydronephrosis,635.57,61,42.62
81502,Fx metacarp base NEC-cl,635.38,13,69.23
81392,Fracture ulna NOS-open,634.67,15,60.0
7244,Lumbosacral neuritis NOS,634.11,282,32.62
82012,"Fx femur, midcervic-open",633.7,27,40.74
84842,Sprain chondrosternal,633.7,46,30.43
35923,Myotonic chondrodystrphy,633.7,46,34.78
07030,Hpt B acte wo cm wo dlta,633.64,22,36.36
1120,Thrush,633.33,21,33.33
3555,Tarsal tunnel syndrome,632.95,44,45.45
20047,Mantle cell lymph spleen,632.73,11,36.36
8301,Dislocation jaw-open,632.73,11,45.45
20295,Lymphoid mal NEC inguin,632.31,13,53.85
78909,Abdmnal pain oth spcf st,631.79,419,35.8
3530,Brachial plexus lesions,631.72,29,51.72
20957,Benign carcinoid rectum,631.43,21,33.33
2738,Dis plas protein met NEC,631.18,34,29.41
1738,Diagnosis 1738,631.13,62,33.87
43842,Lt ef-mplga lowlmb nondm,630.67,30,30.0
449,Septic arterial embolism,630.0,11,18.18
71698,Arthropathy NOS-oth site,629.67,61,29.51
5303,Esophageal stricture,628.76,121,42.15
82132,Fx low femur epiphy-open,628.46,13,30.77
78063,Postvaccination fever,627.86,14,42.86
V5309,Adj nerv syst device NEC,627.86,28,25.0
9954,Shock due to anesthesia,627.65,17,23.53
78651,Precordial pain,625.63,2261,35.74
8245,Fx bimalleolar-open,625.33,15,46.67
43832,Lt ef-mplga uplmb nondom,625.22,23,21.74
